year,faculty,plan_code,degree_abbrev,specialisation,variant,study_year,credits_ideal,credits_unresolved_slots,credits_stated,stated_is_minimum,credit_delta,fee_ideal_zar,fee_estimated_component_zar,fee_slots_missing,fee_published_zar,fee_published_label,fee_match_method,fee_delta_pct,final_credits,credits_stated_corrected,final_credit_status,final_fee_zar,final_fee_status,resolution_class,resolution_ref,confidence,resolution_rationale
2021,COM,CB001BUS06,BCom,Management Studies,regular,3,43,0,144,False,-101,20544,11944,0,68800,BCom in the field of Management Studies,label_match,-70.1,144,,resolved_manual,20544,published_divergent,R3,COM-2021-001,high,"The extracted course set for this year is demonstrably incomplete (rows unparsed in this edition's layout or an open-elective year without a parsable slot line); the stated total, corroborated by sibling editions, is the reliable carrier of the load."
2021,COM,CB001ECO02,BCom,Economics and Finance,regular,1,167,0,167,False,0,77030,0,0,77030,BCom specialising in Economics & Finance,label_match,0.0,167,,consistent,77030,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001ECO02,BCom,Economics and Finance,regular,2,150,0,150,True,0,70520,0,0,70520,BCom specialising in Economics & Finance,label_match,0.0,150,,consistent,70520,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001ECO02,BCom,Economics and Finance,regular,3,144,0,144,False,0,68570,8600,0,68570,BCom specialising in Economics & Finance,label_match,0.0,144,,consistent,68570,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001ECO03,BCom,Economics with Law,regular,1,149,0,149,False,0,68490,0,0,68490,BCom specialising in Economics with Law,label_match,0.0,149,,consistent,68490,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001ECO03,BCom,Economics with Law,regular,2,162,0,162,True,0,73370,0,0,73370,BCom specialising in Economics with Law,label_match,0.0,162,,consistent,73370,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001ECO03,BCom,Economics with Law,regular,3,144,0,162,False,-18,65820,0,0,65820,BCom specialising in Economics with Law,label_match,0.0,144,,resolved_computed,65820,reconciled,R1a,R1a,high,"stated total exceeds the taken-course sum by exactly the credits of the non-taken alternatives (one choice group, 18 cr) — the printed total double-counts choices"
2021,COM,CB001ECO04,BCom,Economics and Statistics,regular,1,167,0,167,False,0,77030,0,0,76780,BCom specialising in Economics & Statistics,label_match,0.3,167,,consistent,77030,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001ECO04,BCom,Economics and Statistics,regular,2,210,0,156,False,54,97540,0,0,72750,BCom specialising in Economics & Statistics,label_match,34.1,210,,unresolved,97540,published_divergent,none,,low,no rule or adjudication applies; default-trust=computed
2021,COM,CB001ECO04,BCom,Economics and Statistics,regular,3,198,1,180,False,18,92830,0,1,84820,BCom specialising in Economics & Statistics,label_match,9.4,198,,unresolved,92830,published_divergent,none,,low,no rule or adjudication applies; default-trust=computed
2021,COM,CB001INF01,BCom,Information Systems,regular,1,149,0,149,False,0,68000,0,0,67750,BCom specialising in Information Systems,label_match,0.4,149,,consistent,68000,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001INF01,BCom,Information Systems,regular,2,126,0,126,False,0,60010,0,1,77210,BCom specialising in Information Systems,label_match,-22.3,126,,consistent,60010,published_divergent,none,,high,computed credits equal the stated total
2021,COM,CB001INF01,BCom,Information Systems,regular,3,156,0,156,False,0,77080,17200,0,77080,BCom specialising in Information Systems,label_match,0.0,156,,consistent,77080,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001INF06,BCom,Information Systems and Computer Science,regular,1,149,0,149,False,0,68180,0,0,68180,BCom specialising in Information Systems & Computer Science,label_match,0.0,149,,consistent,68180,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001INF06,BCom,Information Systems and Computer Science,regular,2,162,0,162,False,0,74990,0,0,74990,BCom specialising in Information Systems & Computer Science,label_match,0.0,162,,consistent,74990,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001INF06,BCom,Information Systems and Computer Science,regular,3,144,0,144,False,0,67620,0,0,67620,BCom specialising in Information Systems & Computer Science,label_match,0.0,144,,consistent,67620,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001INF11,BCom,Information Systems and Finance,regular,1,167,0,167,False,0,77030,0,0,76690,BCom specialising in Information Systems & Finance,label_match,0.4,167,,consistent,77030,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001INF11,BCom,Information Systems and Finance,regular,2,162,0,162,False,0,76720,0,0,76720,BCom specialising in Information Systems & Finance,label_match,0.0,162,,consistent,76720,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001INF11,BCom,Information Systems and Finance,regular,3,150,0,150,False,0,71030,0,0,71030,BCom specialising in Information Systems & Finance,label_match,0.0,150,,consistent,71030,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001PHI03,BCom,"Philosophy, Politics & Economics",regular,1,149,0,149,False,0,66280,0,0,66280,"BCom specialising in Philosophy, Politics & Economics",label_match,0.0,149,,consistent,66280,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB001PHI03,BCom,"Philosophy, Politics & Economics",regular,2,246,0,174,False,72,110240,0,0,79130,"BCom specialising in Philosophy, Politics & Economics",label_match,39.3,246,,unresolved,110240,published_divergent,none,,low,no rule or adjudication applies; default-trust=computed
2021,COM,CB001PHI03,BCom,"Philosophy, Politics & Economics",regular,3,222,2,168,False,54,88020,10370,2,74110,"BCom specialising in Philosophy, Politics & Economics",label_match,18.8,222,,unresolved,88020,published_divergent,none,,low,no rule or adjudication applies; default-trust=computed
2021,COM,CB003BUS01,BBusSc,Actuarial Science,regular,1,185,0,185,False,0,85250,0,0,85250,Bachelor of Business Science BBusSc specialising in Actuarial Science,label_match,0.0,185,,consistent,85250,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB003BUS01,BBusSc,Actuarial Science,regular,2,186,0,186,False,0,87680,0,0,87680,Bachelor of Business Science BBusSc specialising in Actuarial Science,label_match,0.0,186,,consistent,87680,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB003BUS01,BBusSc,Actuarial Science,regular,3,180,0,180,False,0,86140,0,0,86240,Bachelor of Business Science BBusSc specialising in Actuarial Science,label_match,-0.1,180,,consistent,86140,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB003BUS01,BBusSc,Actuarial Science,regular,4,174,0,174,False,0,73530,0,0,73000,Bachelor of Business Science BBusSc specialising in Actuarial Science,label_match,0.7,174,,consistent,73530,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB003BUS09,BBusSc,Actuarial Science: Quantitative Finance,regular,1,185,0,185,False,0,85250,0,0,85250,BBusSc specialising in Actuarial Science: Quantitative Finance Stream,label_match,0.0,185,,consistent,85250,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB003BUS09,BBusSc,Actuarial Science: Quantitative Finance,regular,2,186,0,186,False,0,87680,0,0,86900,BBusSc specialising in Actuarial Science: Quantitative Finance Stream,label_match,0.9,186,,consistent,87680,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB003BUS09,BBusSc,Actuarial Science: Quantitative Finance,regular,3,198,0,198,False,0,92620,0,0,92620,BBusSc specialising in Actuarial Science: Quantitative Finance Stream,label_match,0.0,198,,consistent,92620,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB003BUS09,BBusSc,Actuarial Science: Quantitative Finance,regular,4,147,0,147,False,0,68510,0,0,68510,BBusSc specialising in Actuarial Science: Quantitative Finance Stream,label_match,0.0,147,,consistent,68510,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004BUS07,BBusSc,Marketing,regular,1,167,0,167,False,0,77030,0,0,77030,BBusSc specialising in Marketing,label_match,0.0,167,,consistent,77030,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004BUS07,BBusSc,Marketing,regular,2,168,0,168,False,0,78890,0,0,78890,BBusSc specialising in Marketing,label_match,0.0,168,,consistent,78890,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004BUS07,BBusSc,Marketing,regular,3,198,0,180,False,18,85410,8600,0,76810,BBusSc specialising in Marketing,label_match,11.2,198,,unresolved,85410,published_divergent,none,,low,no rule or adjudication applies; default-trust=computed
2021,COM,CB004BUS07,BBusSc,Marketing,regular,4,180,0,180,False,0,84360,0,0,84360,BBusSc specialising in Marketing,label_match,0.0,180,,consistent,84360,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004BUS08,BBusSc,Organisational Psychology,regular,1,167,0,167,False,0,75390,0,0,75390,BBusSc specialising in Organisational Psychology,label_match,0.0,167,,consistent,75390,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004BUS08,BBusSc,Organisational Psychology,regular,2,162,0,162,False,0,60200,0,2,77010,BBusSc specialising in Organisational Psychology,label_match,-21.8,162,,consistent,60200,published_divergent,none,,high,computed credits equal the stated total
2021,COM,CB004BUS08,BBusSc,Organisational Psychology,regular,3,198,0,180,False,18,91030,8600,0,84200,BBusSc specialising in Organisational Psychology,label_match,8.1,198,,unresolved,91030,published_divergent,none,,low,no rule or adjudication applies; default-trust=computed
2021,COM,CB004BUS08,BBusSc,Organisational Psychology,regular,4,156,0,156,False,0,80210,0,0,80210,BBusSc specialising in Organisational Psychology,label_match,0.0,156,,consistent,80210,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004BUS22,BBusSc,Analytics,regular,1,185,0,185,False,0,85000,0,0,85000,BBusSc specialising in Analytics,label_match,0.0,185,,consistent,85000,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004BUS22,BBusSc,Analytics,regular,2,186,0,186,False,0,86670,0,0,86670,BBusSc specialising in Analytics,label_match,0.0,186,,consistent,86670,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004BUS22,BBusSc,Analytics,regular,3,210,0,198,True,12,97750,0,0,103950,BBusSc specialising in Analytics,label_match,-6.0,210,,consistent,97750,published_divergent,none,,high,computed credits equal the stated total
2021,COM,CB004BUS22,BBusSc,Analytics,regular,4,178,0,178,False,0,71030,0,0,71030,BBusSc specialising in Analytics,label_match,0.0,178,,consistent,71030,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004CSC05,BBusSc,Computer Science,regular,1,149,0,147,False,2,67800,0,0,59390,BBusSc specialising in Computer Science,label_match,14.2,149,,unresolved,67800,published_divergent,none,,low,no rule or adjudication applies; default-trust=computed
2021,COM,CB004CSC05,BBusSc,Computer Science,regular,2,162,0,162,False,0,75950,0,0,75950,BBusSc specialising in Computer Science,label_match,0.0,162,,consistent,75950,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004CSC05,BBusSc,Computer Science,regular,3,180,0,180,False,0,84080,0,0,84080,BBusSc specialising in Computer Science,label_match,0.0,180,,consistent,84080,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004CSC05,BBusSc,Computer Science,regular,4,166,0,166,False,0,67080,0,0,67080,BBusSc specialising in Computer Science,label_match,0.0,166,,consistent,67080,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004ECO01,BBusSc,Economics,regular,1,167,0,167,False,0,77030,0,0,77030,BBusSc specialising in Economics,label_match,0.0,167,,consistent,77030,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004ECO01,BBusSc,Economics,regular,2,156,0,150,False,6,72980,0,0,72980,BBusSc specialising in Economics,label_match,0.0,156,,resolved_computed,72980,reconciled,R2a,R2a,medium,"identical taken-course set reconciles exactly in editions 2022, 2025, 2026; the divergent stated total here is edition-local drift"
2021,COM,CB004ECO01,BBusSc,Economics,regular,3,282,1,162,False,120,133400,8600,1,77170,BBusSc specialising in Economics,label_match,72.9,162,,resolved_manual,133400,published_divergent,R3,COM-2021-002,high,"The year table lists a module menu with no printed selection rule, so the row sum counts every offering; the stated total is the only authoritative signal of the intended load and is stable across editions. Computed fee is left as the sum of listed modules and will show as published_divergent until the menu rule is confirmed."
2021,COM,CB004ECO01,BBusSc,Economics,regular,4,156,0,156,False,0,85900,0,0,85900,BBusSc specialising in Economics,label_match,0.0,156,,consistent,85900,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004ECO03,BBusSc,Economics with Law,regular,1,167,0,167,False,0,77030,0,0,77030,BBusSc specialising in Economics with Law,label_match,0.0,167,,consistent,77030,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004ECO03,BBusSc,Economics with Law,regular,2,168,0,168,False,0,76880,0,0,76880,BBusSc specialising in Economics with Law,label_match,0.0,168,,consistent,76880,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004ECO03,BBusSc,Economics with Law,regular,3,162,0,144,False,18,74190,8600,0,74190,BBusSc specialising in Economics with Law,label_match,0.0,162,,resolved_computed,74190,reconciled,R2a,R2a,medium,"identical taken-course set reconciles exactly in editions 2022, 2023; the divergent stated total here is edition-local drift"
2021,COM,CB004ECO03,BBusSc,Economics with Law,regular,4,174,0,174,False,0,94500,0,0,94500,BBusSc specialising in Economics with Law,label_match,0.0,174,,consistent,94500,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004FTX04,BBusSc,Finance with Accounting,regular,1,167,0,167,False,0,77030,0,0,77030,BBusSc specialising in Finance with Accounting (CA Option),label_match,0.0,167,,consistent,77030,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004FTX04,BBusSc,Finance with Accounting,regular,2,168,0,168,False,0,78150,0,0,78150,BBusSc specialising in Finance with Accounting (CA Option),label_match,0.0,168,,consistent,78150,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004FTX04,BBusSc,Finance with Accounting,regular,3,180,0,180,False,0,85080,0,0,85080,BBusSc specialising in Finance with Accounting (CA Option),label_match,0.0,180,,consistent,85080,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004FTX04,BBusSc,Finance with Accounting,regular,4,162,0,162,False,0,77200,0,0,77200,BBusSc specialising in Finance with Accounting (CA Option),label_match,0.0,162,,consistent,77200,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004FTX05,BBusSc,Finance,regular,1,167,0,167,False,0,77030,0,0,77030,BBusSc specialising in Finance (Non CA Option),label_match,0.0,167,,consistent,77030,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004FTX05,BBusSc,Finance,regular,2,168,0,168,False,0,78890,0,0,78890,BBusSc specialising in Finance (Non CA Option),label_match,0.0,168,,consistent,78890,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004FTX05,BBusSc,Finance,regular,3,18,0,180,False,-162,8600,8600,0,76730,BBusSc specialising in Finance (Non CA Option),label_match,-88.8,180,,resolved_manual,8600,published_divergent,R3,COM-2021-003,high,"The extracted course set for this year is demonstrably incomplete (rows unparsed in this edition's layout or an open-elective year without a parsable slot line); the stated total, corroborated by sibling editions, is the reliable carrier of the load."
2021,COM,CB004FTX05,BBusSc,Finance,regular,4,144,0,144,False,0,68600,0,0,68600,BBusSc specialising in Finance (Non CA Option),label_match,0.0,144,,consistent,68600,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004INF01,BBusSc,Information Systems,regular,1,185,0,185,False,0,84890,0,0,84640,BBusSc specialising in Information Systems,label_match,0.3,185,,consistent,84890,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004INF01,BBusSc,Information Systems,regular,2,168,0,168,False,0,79920,0,0,79920,BBusSc specialising in Information Systems,label_match,0.0,168,,consistent,79920,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004INF01,BBusSc,Information Systems,regular,3,156,0,156,False,0,77080,0,0,77080,BBusSc specialising in Information Systems,label_match,0.0,156,,consistent,77080,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB004INF01,BBusSc,Information Systems,regular,4,176,0,176,False,0,78900,0,0,78900,BBusSc specialising in Information Systems,label_match,0.0,176,,consistent,78900,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ACC03,BCom,Financial Accounting: Accounting with Law,extended,1,113,0,113,False,0,51540,0,0,51540,BCom Academic Development specialising in Financial Accounting: Accounting with Law Stream,ad_duration,0.0,113,,consistent,51540,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ACC03,BCom,Financial Accounting: Accounting with Law,extended,2,126,0,126,False,0,59620,0,0,59620,BCom Academic Development specialising in Financial Accounting: Accounting with Law Stream,ad_duration,0.0,126,,consistent,59620,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ACC03,BCom,Financial Accounting: Accounting with Law,extended,3,126,0,126,False,0,57120,0,0,57120,BCom Academic Development specialising in Financial Accounting: Accounting with Law Stream,ad_duration,0.0,126,,consistent,57120,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ACC03,BCom,Financial Accounting: Accounting with Law,extended,4,90,0,90,False,0,40020,0,0,40020,BCom Academic Development specialising in Financial Accounting: Accounting with Law Stream,ad_duration,0.0,90,,consistent,40020,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ACC04,BCom,Financial Accounting: Chartered Accountant,extended,1,131,0,131,False,0,59890,0,0,59950,Bachelor of Commerce Academic Development specialising in Financial Accounting Chartered Accounting Stream,ad_duration,-0.1,131,,consistent,59890,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ACC04,BCom,Financial Accounting: Chartered Accountant,extended,2,144,0,144,False,0,67960,0,0,67960,Bachelor of Commerce Academic Development specialising in Financial Accounting Chartered Accounting Stream,ad_duration,0.0,144,,consistent,67960,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ACC04,BCom,Financial Accounting: Chartered Accountant,extended,3,126,0,126,False,0,58390,0,0,58390,Bachelor of Commerce Academic Development specialising in Financial Accounting Chartered Accounting Stream,ad_duration,0.0,126,,consistent,58390,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ACC04,BCom,Financial Accounting: Chartered Accountant,extended,4,108,0,108,False,0,51420,0,0,51420,Bachelor of Commerce Academic Development specialising in Financial Accounting Chartered Accounting Stream,ad_duration,0.0,108,,consistent,51420,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ACC08,BCom,Financial Accounting: General Accounting,extended,1,131,0,131,False,0,59890,0,0,59890,BCom Academic Development specialising in Financial Accounting General Accounting Stream,ad_duration,0.0,131,,consistent,59890,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ACC08,BCom,Financial Accounting: General Accounting,extended,2,126,0,126,False,0,59360,0,0,59360,BCom Academic Development specialising in Financial Accounting General Accounting Stream,ad_duration,0.0,126,,consistent,59360,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ACC08,BCom,Financial Accounting: General Accounting,extended,3,108,0,126,False,-18,51500,0,0,50760,BCom Academic Development specialising in Financial Accounting General Accounting Stream,ad_duration,1.5,108,,resolved_computed,51500,reconciled,R1a,R1a,high,"stated total exceeds the taken-course sum by exactly the credits of the non-taken alternatives (all choice groups, 18 cr) — the printed total double-counts choices"
2021,COM,CB011ACC08,BCom,Financial Accounting: General Accounting,extended,4,108,0,108,False,0,49810,0,0,49810,BCom Academic Development specialising in Financial Accounting General Accounting Stream,ad_duration,0.0,108,,consistent,49810,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011BUS06,,,extended,1,131,0,131,False,0,59400,0,0,,,unmatched,,131,,consistent,59400,no_published,none,,high,computed credits equal the stated total
2021,COM,CB011BUS06,,,extended,2,108,0,108,False,0,51230,8540,0,,,unmatched,,108,,consistent,51230,no_published,none,,high,computed credits equal the stated total
2021,COM,CB011BUS06,,,extended,3,132,0,132,False,0,62430,17200,0,,,unmatched,,132,,consistent,62430,no_published,none,,high,computed credits equal the stated total
2021,COM,CB011BUS06,,,extended,4,18,0,126,False,-108,8600,0,1,,,unmatched,,126,,resolved_manual,8600,no_published,R3,COM-2021-004,high,"The extracted course set for this year is demonstrably incomplete (rows unparsed in this edition's layout or an open-elective year without a parsable slot line); the stated total, corroborated by sibling editions, is the reliable carrier of the load."
2021,COM,CB011ECO02,BCom,Economics and Finance,extended,1,113,0,113,False,0,51290,0,0,51290,BCom Academic Development specialising in Economics & Finance,ad_duration,0.0,113,,consistent,51290,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ECO02,BCom,Economics and Finance,extended,2,108,0,108,False,0,50800,0,0,50800,BCom Academic Development specialising in Economics & Finance,ad_duration,0.0,108,,consistent,50800,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ECO02,BCom,Economics and Finance,extended,3,114,0,132,False,-18,53830,0,0,67350,BCom Academic Development specialising in Economics & Finance,ad_duration,-20.1,114,,unresolved,53830,published_divergent,none,,low,no rule or adjudication applies; default-trust=computed
2021,COM,CB011ECO02,BCom,Economics and Finance,extended,4,108,0,108,False,0,51600,0,1,51600,BCom Academic Development specialising in Economics & Finance,ad_duration,0.0,108,,consistent,51600,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ECO03,BCom,Economics with Law,extended,1,131,0,131,False,0,59890,0,0,59890,BCom Academic Development specialising in Economics with Law,ad_duration,0.0,131,,consistent,59890,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011ECO03,BCom,Economics with Law,extended,2,204,0,108,False,96,92860,0,1,51370,BCom Academic Development specialising in Economics with Law,ad_duration,80.8,108,,resolved_manual,92860,published_divergent,R3,COM-2021-005,high,"The year table lists a module menu with no printed selection rule, so the row sum counts every offering; the stated total is the only authoritative signal of the intended load and is stable across editions. Computed fee is left as the sum of listed modules and will show as published_divergent until the menu rule is confirmed."
2021,COM,CB011ECO03,BCom,Economics with Law,extended,3,108,0,108,False,0,48620,0,0,57220,BCom Academic Development specialising in Economics with Law,ad_duration,-15.0,108,,consistent,48620,published_divergent,none,,high,computed credits equal the stated total
2021,COM,CB011ECO03,BCom,Economics with Law,extended,4,108,0,198,False,-90,48620,0,0,57220,BCom Academic Development specialising in Economics with Law,ad_duration,-15.0,108,,resolved_computed,48620,published_divergent,R1a,R1a,high,"stated total exceeds the taken-course sum by exactly the credits of the non-taken alternatives (all choice groups, 90 cr) — the printed total double-counts choices"
2021,COM,CB011ECO04,BCom,Economics and Statistics,extended,1,131,0,113,False,18,60080,0,0,51540,BCom Academic Development specialising in Economics & Statistics,ad_duration,16.6,131,,unresolved,60080,published_divergent,none,,low,no rule or adjudication applies; default-trust=computed
2021,COM,CB011ECO04,BCom,Economics and Statistics,extended,2,126,0,108,False,18,59090,0,0,50550,BCom Academic Development specialising in Economics & Statistics,ad_duration,16.9,126,,unresolved,59090,published_divergent,none,,low,no rule or adjudication applies; default-trust=computed
2021,COM,CB011ECO04,BCom,Economics and Statistics,extended,3,144,0,144,True,0,67560,8600,0,58750,BCom Academic Development specialising in Economics & Statistics,ad_duration,15.0,144,,consistent,67560,published_divergent,none,,high,computed credits equal the stated total
2021,COM,CB011ECO04,BCom,Economics and Statistics,extended,4,162,0,162,False,0,76220,8600,0,76220,BCom Academic Development specialising in Economics & Statistics,ad_duration,0.0,162,,consistent,76220,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011INF01,BCom,Information Systems,extended,1,113,0,113,False,0,51540,0,0,51540,BCom Academic Development specialising in Information Systems,ad_duration,0.0,113,,consistent,51540,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011INF01,BCom,Information Systems,extended,2,108,0,108,False,0,51660,0,0,51660,BCom Academic Development specialising in Information Systems,ad_duration,0.0,108,,consistent,51660,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011INF01,BCom,Information Systems,extended,3,120,0,120,False,0,59800,8540,0,68460,BCom Academic Development specialising in Information Systems,ad_duration,-12.6,120,,consistent,59800,published_divergent,none,,high,computed credits equal the stated total
2021,COM,CB011INF01,BCom,Information Systems,extended,4,108,0,108,False,0,50630,17200,0,50630,BCom Academic Development specialising in Information Systems,ad_duration,0.0,108,,consistent,50630,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011INF06,BCom,Information Systems and Computer Science,extended,1,113,0,113,False,0,51290,0,0,51290,BCom Academic Development specialising in Information Systems & Computer Science,ad_duration,0.0,113,,consistent,51290,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011INF06,BCom,Information Systems and Computer Science,extended,2,108,0,108,False,0,50070,0,0,50070,BCom Academic Development specialising in Information Systems & Computer Science,ad_duration,0.0,108,,consistent,50070,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011INF06,BCom,Information Systems and Computer Science,extended,3,108,0,108,False,0,50410,0,0,61470,BCom Academic Development specialising in Information Systems & Computer Science,ad_duration,-18.0,108,,consistent,50410,published_divergent,none,,high,computed credits equal the stated total
2021,COM,CB011INF06,BCom,Information Systems and Computer Science,extended,4,126,0,126,False,0,59020,0,0,59020,BCom Academic Development specialising in Information Systems & Computer Science,ad_duration,0.0,126,,consistent,59020,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011INF11,BCom,Information Systems and Finance,extended,1,131,0,131,False,0,60140,0,0,60140,BCom Academic Development specialising in Information Systems & Finance,ad_duration,0.0,131,,consistent,60140,reconciled,none,,high,computed credits equal the stated total
2021,COM,CB011INF11,BCom,Information Systems and Finance,extended,2,108,0,108,False,0,51410,0,0,51410,BCom Academic Development specialising in Information Systems & Finance,ad_duration,0.0,108,,consistent,51410,reconciled,none,,high,computed credits equal the stated total
